"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"17519386850","","88739345","2010-07-01 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@fernandoalbo hacela mierda, no seas cagon...borom bombon hacela mierda, no seas cagon!!!!!","","","",""
"17203758406","","","2010-06-27 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""Espera que sople el viento a favor..."" Enrique Bunbury","","","",""
"17062096569","","","2010-06-26 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Algun dia espero q la tos me deje en paz! Maldito clima","","","",""
"16547394805","","","2010-06-19 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mimi maura...te quiero ver","","","",""
"16570684631","","61871136","2010-06-19 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@CotyPonce que haces?","","","",""
"16450622442","","","2010-06-18 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""En ningún momento estaba solo....y todo parecia tan perfecto!.""","","","",""
"16451556362","","","2010-06-18 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Malas intenciones http://undesquiciado.blogspot.com/?spref=tw","","","",""
"16500710116","","","2010-06-18 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @manumburucuya Con nuevo chiche telefonico","","","",""
"16214882462","","","2010-06-15 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""GENTE COMPLETAMENTE LOCA"" http://undesquiciado.blogspot.com/?spref=tw","","","",""
"15913463106","","","2010-06-11 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PCA BUNBURY http://undesquiciado.blogspot.com","","","",""
"15913512851","15905828488","137081280","2010-06-11 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@bkabunbury =)","","","",""
"15880079961","","","2010-06-10 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""Tuyo es solo...lo que no! tiene dueño. http://undesquiciado.blogspot.com/2010/06/tuyo-es-sololo-que-no-tiene-dueno.html?spref=tw","","","",""
"15757576765","","","2010-06-09 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @bunburyclub: I like this page: http://soc.li/gwUkJsL","15751981593","69495294","2010-06-09 02:48:40 +0000",""
"15757623829","","","2010-06-09 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""GENTE COMPLETAMENTE LOCA"" http://undesquiciado.blogspot.com/?spref=tw - Lo que andabamos buscando - ELEFANTE","","","",""
"15804130250","","","2010-06-09 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","http://undesquiciado.blogspot.com/2010/06/alejandro-sokol.html","","","",""
"15805150110","","","2010-06-09 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""GENTE COMPLETAMENTE LOCA"": Alejandro Sokol http://undesquiciado.blogspot.com/2010/06/alejandro-sokol.html?spref=tw","","","",""
"15600013753","","","2010-06-07 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","http://undesquiciado.blogspot.com/?spref=tw
BUNBURY-AMIGOS Y GRANDES APORTES","","","",""
"15619207112","","","2010-06-07 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bunbury http://undesquiciado.blogspot.com/?spref=tw","","","",""
"15531035197","","","2010-06-06 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GENTE COMPLETAMENTE LOCA: Enrique Bunbury http://undesquiciado.blogspot.com/2010/06/enrique-bunbury.html?spref=tw","","","",""
"15565520729","","","2010-06-06 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GENTE COMPLETAMENTE LOCA: ENRIQUE BUNBURY
http://undesquiciado.blogspot.com/2010/06/enrique-bunbury-buenas-aca-les-dejo-un.html?spref=tw","","","",""
